,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-SF
Age,1,0.130309728,0.056757708,0.146469552,0.085967548,0.097149396,0.038224587,0.177580281,0.169681052,0.056134562,0.027526546,0.027550033,0.033214274,0.087252433,0.088936277,0.070622319,0.178017001,-0.019938275,0.105934332,0.072670311,0.157398767,0.085050695,0.004586953,0.080857616,0.097664492,0.104866449,0.074043309,0.00887603,-0.009314049,0.038277879,0.015773889,-0.037371344,0.067679729,-0.070608606,0.115315949,0.0322336
G,0.130309728,1,0.624509915,0.709914599,0.583513353,0.567717478,0.276818332,0.457227839,0.439375357,0.18453104,0.503540003,0.500019116,0.238102685,0.307306647,0.447669331,0.440129088,0.286689454,0.329937575,0.504410437,0.47990011,0.425733539,0.474295732,0.354457532,0.506143272,0.564960538,0.578532242,0.077587299,-0.017139158,-0.027147449,0.034889631,0.024251759,-0.032312432,0.041984466,-0.051564543,0.034671489,0.011281867
GS,0.056757708,0.624509915,1,0.812280127,0.752312429,0.737906222,0.198303743,0.522223933,0.51582739,0.159212434,0.679692662,0.684625962,0.153218474,0.201396817,0.619437977,0.61409647,0.214015708,0.408770561,0.643152486,0.608543039,0.572961506,0.621591679,0.436864736,0.673364804,0.589589262,0.746683874,0.061563136,-0.044478335,-0.021677775,0.069977585,0.010121672,-0.009688186,0.095289952,-0.046701525,-0.036085962,-0.02209165
MP,0.146469552,0.709914599,0.812280127,1,0.882559227,0.89355929,0.218019732,0.670617388,0.678716006,0.216321415,0.772314807,0.795060443,0.181188455,0.248609164,0.716448884,0.715811938,0.290323585,0.410194817,0.721018597,0.666740971,0.693287814,0.753743932,0.428582768,0.784620465,0.751745421,0.881009783,-0.017524174,-0.047398929,-0.085901244,0.058394736,0.05132273,0.047506795,0.085096652,-0.006516852,-0.001249741,-0.001727292
FG,0.085967548,0.583513353,0.752312429,0.882559227,1,0.97650831,0.304898266,0.617041245,0.620219646,0.174902356,0.937711207,0.94440126,0.233908187,0.277750241,0.861345089,0.862734961,0.239864209,0.454331818,0.735154845,0.691711109,0.685144304,0.662250032,0.443354396,0.845574091,0.638386096,0.990095317,0.067456263,-0.049965456,-0.078505388,0.019737881,0.04175459,-0.016697914,0.055983616,-0.013447818,-0.005752846,-0.015601065
FGA,0.097149396,0.567717478,0.737906222,0.89355929,0.97650831,1,0.157546129,0.71481323,0.73318845,0.193782131,0.866664206,0.906084673,0.111765044,0.170614922,0.843362329,0.829813114,0.282794627,0.325507385,0.664894694,0.598734612,0.722898929,0.682792691,0.340472005,0.853108049,0.60035268,0.982096104,-0.048932915,-0.046028414,-0.091185948,0.031073544,0.085339678,-0.005900381,0.066607489,0.04627427,-0.001256467,-0.00694006
FG%,0.038224587,0.276818332,0.198303743,0.218019732,0.304898266,0.157546129,1,-0.068395718,-0.140646236,0.231777184,0.397349784,0.30121301,0.809340598,0.914399484,0.210494508,0.253680411,-0.106786111,0.451750738,0.346022172,0.400809718,0.065991047,0.108548367,0.403966188,0.161921239,0.339499099,0.257057892,0.365536494,-0.036226544,0.022539606,-0.014228989,-0.111390552,-0.051455889,-0.007189771,-0.185449828,-0.011295012,-0.026213219
3P,0.177580281,0.457227839,0.522223933,0.670617388,0.617041245,0.71481323,-0.068395718,1,0.981657173,0.445767474,0.305912248,0.362896817,-0.045491613,0.171524597,0.476434138,0.413111692,0.362401844,-0.131146204,0.272167426,0.161472694,0.480926128,0.477484725,-0.002765245,0.498266462,0.346342003,0.680361115,-0.341365911,-0.01733452,-0.042320422,0.066812232,0.077272717,0.056286664,0.055337675,0.201448434,0.060708816,-0.02035183
3PA,0.169681052,0.439375357,0.51582739,0.678716006,0.620219646,0.73318845,-0.140646236,0.981657173,1,0.352945265,0.317735224,0.376755193,-0.045000632,0.081992198,0.496673185,0.434692351,0.357651722,-0.145703371,0.277387282,0.160760733,0.512064303,0.496256899,-0.005675246,0.527553937,0.344644454,0.684664675,-0.364496629,-0.02000531,-0.047118069,0.054972993,0.080405614,0.06454072,0.054972993,0.218654929,0.051297967,-0.013093934
3P%,0.056134562,0.18453104,0.159212434,0.216321415,0.174902356,0.193782131,0.231777184,0.445767474,0.352945265,1,0.016709078,0.047712008,-0.107269274,0.504113991,0.080786786,0.039723326,0.321202053,-0.165812942,0.029423489,-0.027946805,0.136797997,0.111584009,-0.06650507,0.102815627,0.07185398,0.201737555,-0.241940682,0.010451274,0.003322875,0.035168199,0.107314343,0.027307711,0.023294382,0.055821252,0.029292968,-0.014527632
2P,0.027526546,0.503540003,0.679692662,0.772314807,0.937711207,0.866664206,0.397349784,0.305912248,0.317735224,0.016709078,1,0.983018289,0.301298872,0.258432197,0.831761939,0.861419215,0.125816907,0.606683772,0.768808949,0.764972627,0.617486573,0.591140852,0.537606913,0.803019003,0.619258526,0.897864218,0.231566416,-0.052754915,-0.076805068,-0.003897176,0.017922184,-0.045017334,0.044960564,-0.105995516,-0.033697569,-0.009894142
